Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4zO9qpJCCF34kZMtL5DF6O,"Sky Falls Down - Armin van Buuren Remix","Trance Top 1000 - Selection 007","Above & Beyond;OceanLab;Armin van Buuren",2013-07-26,227546,14,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance,progressive house,electronica,edm","ARVA",0.538,0.94,0,-9.245,1,0.0321,0.000154,0.473,0.084,0.294,137.994,4
spotify:track:2l0YrlVmt8SJ9JyiPszcCa,"Ligaya - Ferry Corsten Remix","Trance Top 1000 - Selection 007","Gouryella;Ferry Corsten",2013-07-26,330217,4,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance","ARVA",0.495,0.958,0,-6.554,0,0.0358,0.00516,0.885,0.13,0.399,138.004,4
spotify:track:3ZIMrjv4esK28Qnqj5STFZ,"Liebe - ATB Remix","Trance Top 1000 - Selection 007","Ayla;ATB",2013-07-26,246120,2,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance","ARVA",0.629,0.922,9,-6.371,0,0.0441,0.0886,0.756,0.375,0.304,130.997,4
spotify:track:09lYCAhLLnePqXbbqRPCIP,"From Russia With Love - Solar Stone 1999 Remix","Trance Top 1000 - Selection 007","Matt Darey;DSP;Solarstone",2013-07-26,234520,17,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance","ARVA",0.437,0.866,6,-9.224,0,0.0343,0.00221,0.893,0.119,0.238,135.005,4
spotify:track:7dv4ukn8kA3LwvYJd95dGY,"Madagascar - Richard Durand Remix","Trance Top 1000 - Selection 007","Art Of Trance;Richard Durand",2013-07-26,182173,13,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance,psytrance","ARVA",0.706,0.97,1,-5.402,0,0.0487,0.000269,0.828,0.406,0.308,134.987,4
spotify:track:40Ro4iAYU9JICZrRgzn4Yi,"Cry","Trance Top 1000 - Selection 007","System F",2013-07-26,257773,5,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance","ARVA",0.551,0.919,10,-5.682,0,0.0318,0.000122,0.175,0.0507,0.424,135.994,4
spotify:track:3vqYXT8iExB10ZskHEpG08,"Wasted","Trance Top 1000 - Selection 007","Andy Duguid;Leah",2013-07-26,228147,10,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance","ARVA",0.618,0.891,8,-6.273,1,0.0365,0.000775,0.733,0.352,0.139,126.996,4
spotify:track:6nELfpA35xHD5IObjTdY5W,"The Emergency","Trance Top 1000 - Selection 007","BT;Andrew Bayer",2013-07-26,224302,2,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance,progressive house","ARVA",0.468,0.778,10,-6.996,1,0.402,0.00873,0,0.324,0.35,130.068,3
spotify:track:70m8NN8XH0WpfD9r5K5nx7,"After All - Svenson & Gielen Remix","Trance Top 1000 - Selection 007","Delerium;Jaël;Svenson & Gielen",2013-07-26,196388,13,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance","ARVA",0.504,0.958,9,-5.887,0,0.0664,0.000346,0.153,0.338,0.242,134.993,4
spotify:track:1W9Ie4XE4LdKiaR5YvHS6W,"Let It Flow - Gareth Emery Remix","Trance Top 1000 - Selection 007","Bartlett Bros.;Marcia Juell;Gareth Emery",2013-07-26,214222,5,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance,progressive house","ARVA",0.759,0.748,7,-7.152,0,0.0381,0.0208,0.944,0.569,0.717,135.012,4
spotify:track:4jtyTXsxb1LBq9hPSjpLIx,"Point Zero","Trance Top 1000 - Selection 007","Matt Darey;Li Kwan",2013-07-26,234822,8,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance","ARVA",0.499,0.699,6,-15.056,1,0.0481,0.037,0.713,0.141,0.0836,129.773,4
spotify:track:5EmLfZkAer3KDhQNCGcLs5,"People Just Don't Care","Trance Top 1000 - Selection 007","Airwave",2013-07-26,235937,1,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance","ARVA",0.524,0.791,11,-10.164,1,0.0379,0.128,0.898,0.624,0.11,130.01,4
spotify:track:2AHILnQH5xxY3N7REDQKvz,"Alt+F4","Trance Top 1000 - Selection 007","Alt+F4",2013-07-26,210253,12,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance","ARVA",0.433,0.976,6,-8.848,0,0.0439,0.00102,0.963,0.401,0.474,138.028,4
spotify:track:6tQq7t4LnDARpYTGR0mdi2,"Lucid","Trance Top 1000 - Selection 007","Phynn",2013-07-26,203211,7,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance","ARVA",0.494,0.869,9,-11.036,0,0.0428,0.000259,0.911,0.215,0.581,136.992,4
spotify:track:6aPfjsjFQ78OrOKKZSDuAL,"The World To Come - Andy Blueman Remix","Trance Top 1000 - Selection 007","Reconceal;Andy Blueman",2013-07-26,242825,1,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance","ARVA",0.366,0.862,5,-7.019,1,0.041,0.00239,0.932,0.34,0.106,137.956,4
spotify:track:6REQgWtxJW4EzJVOxhs1Xc,"The Morning After - The Thrillseekers Remix","Trance Top 1000 - Selection 007","8 Wonders;The Thrillseekers",2013-07-26,226304,2,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance","ARVA",0.489,0.909,11,-6.998,1,0.0284,0.000526,0.952,0.205,0.141,138.015,4
spotify:track:4XT8josgQjkKIR2Y8dOKXI,"A Dream Of Peace - John Askew Remix","Trance Top 1000 - Selection 007","Amadeus;Aly & Fila;John Askew",2013-07-26,227996,1,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance","ARVA",0.548,0.98,0,-6.147,0,0.0374,0.00464,0.825,0.332,0.511,140.011,4
spotify:track:16hnIrunzszKgsBtlZNZf9,"North Pole","Trance Top 1000 - Selection 007","Nitrous Oxide",2013-07-26,206838,1,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance","ARVA",0.459,0.939,9,-7.153,1,0.0303,0.00689,0.793,0.0378,0.377,138.007,4
spotify:track:5HO2oxFIad7bXvjKt0lVBr,"Remember Me - Daniel Kandi's Flashy Tribute Mix","Trance Top 1000 - Selection 007","Ben Preston;Susie;Daniel Kandi",2013-07-26,190000,1,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance,kizomba,zouk","ARVA",0.527,0.955,1,-6.832,1,0.0388,0.000125,0.861,0.932,0.388,137.969,4
spotify:track:1q2WV06A7uH6CldDdH0K5e,"Sum Of All Fears - Tenishia Remix","Trance Top 1000 - Selection 007","Matt Darey;Tiff Lacey;Tenishia",2013-07-26,285724,1,false,sam.tom.verbeek,2026-03-29T11:37:31Z,"trance,progressive trance","ARVA",0.63,0.958,3,-4.365,1,0.131,0.0575,0.72,0.803,0.484,126.017,4
spotify:track:5JcZHbUi60uykbQNXPLoCG,"For An Angel - PvD Angel In Heaven Radio Edit","For An Angel (30th Anniversary Edition)","Paul van Dyk",2024-10-25,233243,65,false,sam.tom.verbeek,2026-03-29T11:37:58Z,"trance,progressive trance","VANDIT Records",0.668,0.982,9,-7.979,0,0.0331,0.0437,0.849,0.887,0.591,138.223,4
spotify:track:2LzEuRdNWNiHdGI1m5ALc5,"Traffic - Radio Edit","Just Be","Tiësto",2004-05-14,177026,62,false,sam.tom.verbeek,2026-03-29T11:38:18Z,"edm,trance,big room,house","Musical Freedom",0.714,0.642,8,-10.241,0,0.0868,0.00251,0.887,0.186,0.102,137.836,4
spotify:track:35P5DaQgzQgHa13EyqWr67,"Silence - Tiësto's In Search Of Sunrise Remix","60 Best Trance Hits Ever","Delerium;Sarah McLachlan;Tiësto",2011-09-09,236093,20,false,sam.tom.verbeek,2026-03-29T11:38:36Z,"trance,edm,big room,house","Armada Music Albums",0.597,0.895,9,-5.259,0,0.0757,0.0126,0.0141,0.0778,0.0995,137.988,4
spotify:track:5PZUDB5s6xexFHLmAa6Zoq,"Café Del Mar - Three 'N One Remix","60 Best Trance Hits Ever","Energy 52;Three 'N One",2011-09-09,230613,34,false,sam.tom.verbeek,2026-03-29T11:40:50Z,"trance","Armada Music Albums",0.308,0.986,5,-6.293,0,0.106,0.0629,0.964,0.0274,0.244,133.01,4
spotify:track:4jDmo4DI4Pxccf3JrGQigL,"As The Rush Comes","60 Best Trance Hits Ever","Motorcycle",2011-09-09,209946,0,false,sam.tom.verbeek,2026-03-29T11:44:53Z,"trance","Armada Music Albums",0.609,0.87,11,-5.611,0,0.0591,0.0137,0.0172,0.584,0.57,134.969,4
spotify:track:3NLdXD99XejVEmQZ3y1ZDa,"Touch Me","60 Best Trance Hits Ever","Rui Da Silva;Cassandra",2011-09-09,206680,0,false,sam.tom.verbeek,2026-03-29T11:45:30Z,"","Armada Music Albums",0.514,0.947,0,-4.56,1,0.046,0.0839,0.00233,0.124,0.695,130.781,4
spotify:track:3h0mVTSbwGT7mUFQRK3IiE,"Voyage","60 Best Trance Hits Ever","Yahel;Eyal Barkan",2011-09-09,197440,14,false,sam.tom.verbeek,2026-03-29T11:47:11Z,"psytrance,trance,progressive trance","Armada Music Albums",0.648,0.95,3,-5.399,0,0.0424,0.056,0.843,0.109,0.489,139.976,4
spotify:track:1ktcu8i0rjZyAfk73SgtNh,"Drop It - Radio edit","60 Best Trance Hits Ever","Scoop",2011-09-09,222306,39,false,sam.tom.verbeek,2026-03-29T11:48:04Z,"happy hardcore","Armada Music Albums",0.765,0.93,5,-4.247,0,0.0452,0.0331,0.822,0.0421,0.551,135.935,4
spotify:track:3SGatdHhUIiAFFQb9AJCsx,"In And Out Of Love","60 Best Trance Hits Ever","Armin van Buuren;Sharon Den Adel",2011-09-09,180728,13,false,sam.tom.verbeek,2026-03-29T11:48:27Z,"trance,progressive trance,progressive house,electronica,edm","Armada Music Albums",0.525,0.644,5,-8.255,0,0.0285,0.0839,0.0000455,0.109,0.446,135.002,4
spotify:track:71rd5QeEuLiU9dSCvYP5Kr,"9 PM (Till I Come)","60 Best Trance Hits Ever","ATB",2011-09-09,199520,15,false,sam.tom.verbeek,2026-03-29T11:51:17Z,"trance","Armada Music Albums",0.675,0.966,9,-4.292,0,0.0515,0.0661,0.953,0.0692,0.827,130.256,4
spotify:track:36HgOxexBd8XGDqAdxJ335,"Sex, Pill, Space, Thrill","Sex, Pill, Space, Thrill","Bekí",2025-09-19,210811,29,true,sam.tom.verbeek,2026-03-29T11:51:47Z,"hard house","Sweet Nothing",0.62,0.88,7,-8.088,0,0.043,0.00676,0.708,0.108,0.894,147.976,4
spotify:track:0Yfb937yM0d5f6os0W9IWc,"Spectral Bells","Spectral Bells","Pegassi",2025-05-30,193907,59,false,sam.tom.verbeek,2026-03-29T11:51:50Z,"hard house,trance,techno,eurodance,bounce,hypertechno","FUTURE TRANCE",0.667,0.998,8,-6.762,0,0.0438,0.00151,0.867,0.0522,0.576,150.995,4
spotify:track:2CXgBOHvaylFWhzk8aoNPG,"It Ain't Over","It Ain't Over","DJ HEARTSTRING",2023-06-30,215096,57,false,sam.tom.verbeek,2026-03-29T11:51:54Z,"hard house,eurodance,trance,hypertechno","Teenage Dreams",0.649,0.987,9,-6.174,0,0.0449,0.0218,0.33,0.0372,0.779,145.993,4
spotify:track:4HYWGaqCkshGWu6stZxlmd,"I Got It For You","Against All Odds","Funk Tribu",2024-10-04,214504,61,false,sam.tom.verbeek,2026-03-29T11:52:04Z,"hard house,techno,phonk,trance,hardtechno","A Million / Groove Attack",0.756,0.996,3,-5.541,0,0.0502,0.327,0.89,0.0808,0.893,147.997,4
spotify:track:5mgLOhX1IXSCZXUFWWkf0c,"Wanna Feel","Wanna Feel","DJ IP;Pegassi",2024-07-12,198648,60,false,sam.tom.verbeek,2026-03-29T11:52:08Z,"hard house,trance,bounce,techno,eurodance,hypertechno","FUTURE TRANCE",0.721,0.961,1,-6.668,0,0.0403,0.00239,0.727,0.147,0.611,148.005,4
spotify:track:1O28S9MYZONNh5PNG1bYeC,"My Favourite Game","My Favourite Game","Odymel",2024-10-04,203015,69,false,sam.tom.verbeek,2026-03-29T11:52:13Z,"hard house,bounce,techno,hypertechno,trance,hardtechno,eurodance","Urban",0.588,0.977,10,-4.205,1,0.0513,0.000807,0.0000975,0.0923,0.543,147.98,4
spotify:track:3YxoZUknOnLDKxZPdb6sjI,"Feel","Feel","Bekí",2025-12-19,268800,14,false,sam.tom.verbeek,2026-03-29T11:52:21Z,"hard house","OBSCUUR",0.548,0.881,7,-8.973,1,0.0542,0.0258,0.683,0.116,0.439,150.017,4
spotify:track:3mtUI0Ddeq9Uj3p1V6lHAO,"Never Leave Me","Feel","Bekí",2025-12-19,232000,8,false,sam.tom.verbeek,2026-03-29T11:52:24Z,"hard house","OBSCUUR",0.658,0.908,4,-7.207,0,0.0562,0.000309,0.567,0.095,0.742,150.001,4
spotify:track:3nAD7KNI4QjVzFZFtyRMZz,"Throw It Back","Feel","Bekí",2025-12-19,226849,8,false,sam.tom.verbeek,2026-03-29T11:52:33Z,"hard house","OBSCUUR",0.754,0.903,11,-8.339,0,0.0579,0.00373,0.81,0.0837,0.849,146.005,4
spotify:track:5uzDTJpmseicKPwzB9q5VG,"Bass Go","Bass Go","Antonym",2025-05-02,305032,59,false,sam.tom.verbeek,2026-03-29T11:52:47Z,"hard house,bounce,techno,hardtechno","Polyamor Berlin",0.761,0.966,0,-5.751,1,0.0616,0.00412,0.836,0.172,0.383,155.01,4
spotify:track:33tCbynAO3vxpJLfYd4Nsg,"1999","1999","Matty Ralph",2025-02-14,191020,50,false,sam.tom.verbeek,2026-03-29T11:53:02Z,"hard house,trance","Bebé Recordings",0.504,0.988,1,-4.909,1,0.0417,0.00613,0.911,0.503,0.34,147.001,4
spotify:track:0wGcn5ePsJryPshmXRjtMa,"Double Happiness - Bad Boombox Remix","Double Happiness (Bad Boombox Remix)","LB aka LABAT;Bad Boombox",2025-08-06,247320,32,false,sam.tom.verbeek,2026-03-29T11:53:24Z,"hard house,techno,bounce,hardtechno","LB aka LABAT",0.655,0.982,0,-5.625,1,0.0602,0.00125,0.883,0.152,0.845,144.986,4
spotify:track:2FAik0wCT2bEcXMeYhoTkj,"I Got You","I Got You","Marlon Hoffstadt;DJ Daddy Trance",2023-11-03,164983,60,false,sam.tom.verbeek,2026-03-29T11:53:37Z,"hard house,eurodance,techno,trance,hypertechno","Method 808, distributed by gamma.",0.597,0.905,10,-8.415,0,0.0387,0.000774,0.305,0.243,0.818,149.984,4
spotify:track:38tYYlgY6fD6HxgnuzdHbi,"Free Yourself","Free Yourself","DJ IP;Sticky Pages",2025-10-10,192000,11,false,sam.tom.verbeek,2026-03-29T11:53:56Z,"hard house,trance,bounce","Sweet Nothing",0.696,0.911,9,-8.853,1,0.0473,0.0188,0.91,0.118,0.23,150.009,4
spotify:track:3tYYypENWxaS1DKUtcH8S8,"Don't Stop","Don't Stop","DJ HEARTSTRING;southstar",2024-04-26,196916,60,false,sam.tom.verbeek,2026-03-29T11:54:05Z,"hard house,eurodance,trance,hypertechno,techno","Teenage Dreams",0.66,0.968,6,-6.147,0,0.058,0.000505,0.874,0.104,0.657,148.018,4
spotify:track:4hACcQfF5dtAzN0CW7vCAF,"Wait For Me","Miracles","DATSKO",2024-04-27,217866,1,false,sam.tom.verbeek,2026-03-29T11:54:20Z,"rally house,hard house,house,lo-fi house","Reboot Records IRE",0.45,0.993,11,-4.877,0,0.0557,0.0773,0.666,0.137,0.783,150.041,4
spotify:track:0W9HXC94MxZersqBbtOrs4,"2 More - Radio Edit","2 More","Hurts",2025-10-31,211200,0,false,sam.tom.verbeek,2026-03-29T11:54:50Z,"hard house,bounce,trance","Sweet Nothing",0.765,0.999,8,-5.818,1,0.0732,0.00657,0.12,0.117,0.367,150,4
spotify:track:0zKGqyfegTfDT2ZwKCiSW9,"Hold On","Hold On","Funk Tribu",2025-07-25,249140,51,false,sam.tom.verbeek,2026-03-29T11:55:13Z,"hard house,techno,phonk,trance,hardtechno","TRIBE rec",0.728,0.868,5,-7.134,0,0.0513,0.0117,0.64,0.0692,0.671,144.986,4
spotify:track:67OCwctI95C8WU6ejoLbt8,"Dive","Dive","Benwal",2025-04-18,209644,52,false,sam.tom.verbeek,2026-03-29T11:55:37Z,"hard house,eurodance,trance,britse garage","NOUW",0.421,0.916,9,-7.499,0,0.0868,0.0306,0.71,0.114,0.0394,137.047,4
spotify:track:2YDoxILT7pKFzd4NEhe09x,"FREAK UP","FREAK UP","Bad Boombox;Ollie Lishman",2024-10-30,221896,50,true,sam.tom.verbeek,2026-03-29T11:55:51Z,"hard house,techno,bounce,hardtechno,eurodance,hypertechno","Hot Meal Records",0.784,0.92,0,-6.514,1,0.0598,0.00753,0.832,0.0814,0.965,145,4
spotify:track:4qkVrWfxFIzyWqOkXe9y3e,"I Need You","I Need You","Bekí",2026-03-20,259200,11,false,sam.tom.verbeek,2026-03-29T11:56:51Z,"hard house","Bekimusic",0.692,0.989,1,-6.808,1,0.0422,0.0145,0.814,0.0834,0.405,150.016,4
spotify:track:3La3KFoSyjE2MOxoljTioT,"Instant Moments","Instant Moments","Divasi",2025-08-29,160208,46,false,sam.tom.verbeek,2026-03-29T11:57:51Z,"hard house","Be Yourself Music",0.747,0.996,9,-5.067,1,0.0664,0.00516,0.863,0.0638,0.596,144.033,4
spotify:track:3Ee3OJdZtEa0bJImN1VT8l,"Instant Moments - Moederoverste Onie Mix","60 Best Trance Hits Ever","R.O.O.S.",2011-09-09,196253,14,false,sam.tom.verbeek,2026-03-29T11:58:18Z,"trance","Armada Music Albums",0.836,0.827,0,-7.047,1,0.104,0.0108,0.932,0.0502,0.616,133.863,4
spotify:track:0xj4Vqtnr94x3PDsgMyl0Y,"Tic Tac Toe","Tic Tac Toe","Hurts;DJ IP",2025-02-05,186486,37,false,sam.tom.verbeek,2026-03-29T11:58:32Z,"hard house,bounce,trance","Sweet Nothing",0.809,0.971,4,-4.661,0,0.0581,0.0202,0.834,0.0313,0.841,148.015,4
spotify:track:079Y630TMvwT2BlS7SCpoM,"Like A Salt Shaker - Janis Zielinski Remix","Pump That Soundsystem","Arman John;Janis Zielinski",2023-09-20,326666,32,false,sam.tom.verbeek,2026-03-29T12:00:20Z,"hard house,eurodance,trance,hypertechno,hardtechno,bounce","CEP Records",0.528,0.992,0,-4.974,0,0.0885,0.00429,0.552,0.089,0.834,75.036,4
spotify:track:21kPwrdkfoolgxjiRQeGiH,"Forbidden Voices","Forbidden Voices","Odymel;Funk Tribu",2025-01-24,200166,55,false,sam.tom.verbeek,2026-03-29T12:00:37Z,"hard house,bounce,techno,hypertechno,trance,hardtechno,eurodance,phonk","Urban",0.57,0.93,11,-3.872,0,0.0385,0.173,0.86,0.26,0.64,75.013,4
spotify:track:1g7O5lMNeVZaEj6obPRyX0,"Bae If You Need Me (feat. Claudia Yang)","Bae If You Need Me (feat. Claudia Yang)","Mika Heggemann;Linds;Claudia Yang",2025-06-20,174400,41,false,sam.tom.verbeek,2026-03-29T12:01:34Z,"hard house,bounce,trance,hypertechno,techno,hardtechno,eurodance","Warner Music Central Europe",0.593,0.966,9,-4.589,0,0.0757,0.00215,0.106,0.0867,0.664,75.005,4
spotify:track:1C5mmdbWD5ksvTU0gHPfao,"Dikke Beat","Dikke Beat","Pegassi",2024-06-19,300625,45,false,sam.tom.verbeek,2026-03-29T12:01:51Z,"hard house,trance,techno,eurodance,bounce,hypertechno","RAW.",0.627,0.961,6,-7.257,0,0.0445,0.000545,0.609,0.0754,0.34,150.005,4
spotify:track:2xbtpj9HHtkyhdAZU48Cwk,"Plan A","Plan A","Dr. G",2025-09-19,240426,32,false,sam.tom.verbeek,2026-03-29T12:02:33Z,"hard house","TRIBE rec",0.704,0.978,4,-5.414,0,0.0775,0.00149,0.0853,0.141,0.266,147.984,4
spotify:track:24ZahOwPra9cPxv6RO1G1R,"Bring It Back","Bring It Back","Pegassi",2025-10-17,228226,53,false,sam.tom.verbeek,2026-03-29T12:03:03Z,"hard house,trance,techno,eurodance,bounce,hypertechno","Live From Earth",0.751,0.989,4,-3.811,0,0.0461,0.003,0.845,0.177,0.533,145.003,4
spotify:track:4XsQ5Iq8VUNAY006J7GQY0,"What’s a Girl to Do in ‘25","What’s a Girl to Do in ‘25","KI/KI",2025-09-12,148047,57,false,sam.tom.verbeek,2026-03-29T12:03:31Z,"hard house,acid techno,techno,trance","Magnetron Music",0.671,0.871,8,-5.721,1,0.0348,0.0338,0.896,0.188,0.215,146.002,4
spotify:track:5nCablBISgXOexJ8EQwHN7,"I Want More","Feel","Bekí",2025-12-19,263014,8,false,sam.tom.verbeek,2026-03-29T12:04:07Z,"hard house","OBSCUUR",0.66,0.822,8,-7.289,1,0.0486,0.0492,0.805,0.168,0.764,146.041,4
